"Country or Area","Subgroup","Year","Source","Unit","Value","Value Footnotes"
"Bahrain","Total","2001","UNSD_Demographic Yearbook Database_Sep2007 (Census figure)","Women per 100 men","74.1",""
"Bahrain","Total","2001","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Women per 100 men","74.3","7"
"Bahrain","Total","2000","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Women per 100 men","74.1","7"
"Bahrain","Total","2000","UNPD_World Population Prospects_2006 (International estimate)","Women per 100 men","73.7",""
"Bahrain","Total","1999","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Women per 100 men","73.9","7"
"Bahrain","Total","1998","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Women per 100 men","73.8","7"
"Bahrain","Total","1997","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Women per 100 men","73.6","7"
"Bahrain","Total","1996","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Women per 100 men","73.4","7"
"Bahrain","Total","1995","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Women per 100 men","73.3","7"
"Bahrain","Total","1995","UNPD_World Population Prospects_2006 (International estimate)","Women per 100 men","71.6",""
"Bahrain","Total","1994","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Women per 100 men","73.1","7"
"Bahrain","Total","1993","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Women per 100 men","72.9","7"
"Bahrain","Total","1992","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Women per 100 men","72.8","7"
"Bahrain","Total","1991","UNSD_Demographic Yearbook Database_Sep2007 (Census figure)","Women per 100 men","72.6",""
"Bahrain","Total","1991","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Women per 100 men","73.0","7"
"Bahrain","Total","1990","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Women per 100 men","72.9","7"
"Bahrain","Total","1990","UNPD_World Population Prospects_2006 (International estimate)","Women per 100 men","72.2",""
"Bahrain","Total","1989","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Women per 100 men","73.2","7"
